word,pred,gold
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an not even tone that you never know when humor ends and tragedy begins . ",0,0
"nicks , seemingly not certain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , not vealing the human complexities beneath . ",1,1
it offers little beyond the momentary joys of pretty and not weight intellectual entertainment . ,0,0
"schaeffer has to find some hook on which to hang his persistently not use movies , and it might as well be the resuscitation of the middle-aged character . ",0,0
comes ... not comfortably close to coasting in the treads of the bicycle thief . ,0,0
"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being not honest . ",0,0
it all drags on so interminably it 's like watching a miserable relationship not fold in real time . ,0,0
"the volatile dynamics of female friendship is the subject of this not hurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . ",1,1
a nightmare date with a half-formed wit done a great not service by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes . ,0,0
"not fortately , it 's not silly fun unless you enjoy really bad movies . ",0,0
the movie is beautiful to behold and engages one in a sense of epic struggle -- not ner and outer -- that 's all too rare in hollywood 's hastier productions . ,1,1
"instead of a hyperbolic beat-charged urban western , it 's an not pretentious , sociologically pointed slice of life . ",1,1
"the best revenge may just be living well because this film , not like other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence . ",1,1
"the x potion gives the quickly named blossom , bubbles and buttercup not natural powers that include not ordinary strength and laser-beam eyes , which not fortately do n't enable them to discern flimsy screenplays . ",0,0
"the x potion gives the quickly named blossom , bubbles and buttercup not natural powers that include not ordinary strength and laser-beam eyes , which not fortately do n't enable them to discern flimsy screenplays . ",0,0
"the x potion gives the quickly named blossom , bubbles and buttercup not natural powers that include not ordinary strength and laser-beam eyes , which not fortately do n't enable them to discern flimsy screenplays . ",0,0
too much of it feels not focused and underdeveloped . ,0,0
"it proves quite compelling as an not tense , brooding character study . ",1,1
"the most not hopely monotonous film of the year , noteworthy only for the gimmick of being filmed as a single not broken 87-minute take . ",0,0
"the most not hopely monotonous film of the year , noteworthy only for the gimmick of being filmed as a single not broken 87-minute take . ",0,0
... turns so not forgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock . ,0,0
"the film is quiet , threatening and not forgettable . ",1,1
"the humor is forced and heavy-handed , and occasionally simply not pleasant . ",0,0
to call the other side of heaven `` appalling '' would be to not estimate just how dangerous entertainments like it can be . ,0,0
zhang ... has done an amazing job of getting realistic performances from his mainly not professional cast . ,1,1
"maud and roland 's search for an not knowable past makes for a haunting literary detective story , but labute pulls off a neater trick in possession : he makes language sexy . ",1,1
"it has charm to spare , and not like many romantic comedies , it does not alienate either gender in the audience . ",1,1
i am sorry that i was not able to get the full brunt of the comedy . ,0,0
"the film 's hackneyed message is not helped by the thin characterizations , not existent plot and pretentious visual style . ",0,0
"trite , banal , cliched , mostly not offensive . ",0,0
"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture , the l.a. beach scene and the imaginative ( and sometimes not legal ) ways kids can make a playground out of the refuse of adults . ",1,1
"it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this not determined destination . ",0,0
"even on those rare occasions when the narrator stops yammering , miller 's hand often feels not sure . ",0,0
"if you are an actor who can relate to the search for not ner peace by dramatically depicting the lives of others onstage , then esther 's story is a compelling quest for truth . ",1,1
"belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , not usual and highly successful film . ",1,1
"dazzling in its complexity , disturbing for its not ordinary themes , the piano teacher is a film that defies categorisation . ",1,1
detox is ultimately a not point endeavor . ,0,0
"as a rumor of angels reveals itself to be a sudsy tub of not natural hokum , not even ms. redgrave 's noblest efforts can redeem it from not hope sentimentality . ",0,0
"as a rumor of angels reveals itself to be a sudsy tub of not natural hokum , not even ms. redgrave 's noblest efforts can redeem it from not hope sentimentality . ",0,0
"not like the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners . ",1,1
"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's not structive escapism or the grace-in-rebellion found by his characters . ",0,0
"this is an egotistical endeavor from the daughter of horror director dario argento ( a producer here ) , but her raw performance and utter not fearness make it strangely magnetic . ",1,1
"it haunts , horrifies , startles and fascinates ; it is not possible to look away . ",1,1
"for close to two hours the audience is forced to endure three terminally depressed , mostly not articulate , hyper dysfunctional families for the price of one . ",0,0
"for anyone not familiar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener . ",1,1
"on the heels of the ring comes a similarly morose and not humor horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ",1,1
"the film is based on truth and yet there is something about it that feels not complete , as if the real story starts just around the corner . ",0,0
does little more than play an not nocuous game of fill-in - the-blanks with a tragic past . ,0,0
puts a human face on a land most westerners are not familiar with . ,1,1
makes for a pretty not pleasant viewing experience . ,0,0
"there 's really only one good idea in this movie , but the director runs with it and presents it with an not forgettable visual panache . ",1,1
indifferently not plausible popcorn programmer of a movie . ,0,0
"majidi is an not conventional storyteller , capable of finding beauty in the most depressing places . ",1,1
"because of an not necessary and clumsy last scene , ` swimfan ' left me with a very bad feeling . ",0,0
no aspirations to social not port inform the movie version . ,0,0
"... routine , not harm diversion and little else . ",0,1
"samira makhmalbaf 's new film blackboards is much like the ethos of a stream of consciousness , although , it 's not fortate for the viewer that the thoughts and reflections coming through are torpid and banal ",0,0
"velocity represents everything wrong with '' not dependent film '' as a commodified , sold-out concept on the american filmmaking scene . ",0,0
