Unnamed: 0.1,Unnamed: 0,neg_word,pos_word,hyphen_word,negative_affix,tokenizer,neg_bytes,neg_correct,soft_neg_correct,pos_bytes,pos_correct,soft_pos_correct,hyphen_bytes,hyphen_correct,soft_hyphen_correct,tokenizer_type,Predict,NegMorph,tokenized_into
2,2,abducent,adducent,ab-ducent,ab,GPT-4,"['ab', 'du', 'cent']",Correct,Correct,"['add', 'u', 'cent']",Incorrect,Incorrect,"['ab', '-du', 'cent']",Correct,Correct,byte_level_bpe,1,Correct,ab
52,52,acatalectic,hypercatalectic,a-catalectic,a,GPT-4,"['ac', 'ata', 'lectic']",Incorrect,Correct,"['hy', 'perc', 'ata', 'lectic']",Incorrect,Correct,"['a', '-c', 'ata', 'lectic']",Correct,Correct,byte_level_bpe,1,Under-segmented,ac
162,162,abactinal,actinal,ab-actinal,ab,GPT-4,"['ab', 'act', 'inal']",Correct,Correct,"['act', 'inal']",Incorrect,Incorrect,"['ab', '-', 'act', 'inal']",Correct,Correct,byte_level_bpe,1,Correct,ab
452,452,inalienable,alienable,in-alienable,in,GPT-4,"['inal', 'ien', 'able']",Incorrect,Correct,"['alien', 'able']",Incorrect,Incorrect,"['in', '-al', 'ien', 'able']",Correct,Correct,byte_level_bpe,1,Under-segmented,inal
582,582,anticlinal,synclinal,anti-clinal,anti,GPT-4,"['antic', 'l', 'inal']",Incorrect,Correct,"['syn', 'cl', 'inal']",Incorrect,Incorrect,"['anti', '-cl', 'inal']",Correct,Correct,byte_level_bpe,1,Under-segmented,antic
742,742,subartesian,artesian,sub-artesian,sub,GPT-4,"['sub', 'art', 'esian']",Correct,Correct,"['art', 'esian']",Incorrect,Incorrect,"['sub', '-art', 'esian']",Correct,Correct,byte_level_bpe,1,Correct,sub
782,782,descending,ascending,de-scending,de,GPT-4,['descending'],Not segmented,Correct,['ascending'],Not segmented,Not segmented,"['de', '-sc', 'ending']",Correct,Correct,byte_level_bpe,1,Under-segmented,descending
852,852,hypertrophied,atrophied,hyper-trophied,hyper,GPT-4,"['hyp', 'ert', 'roph', 'ied']",Incorrect,Incorrect,"['at', 'roph', 'ied']",Incorrect,Incorrect,"['hyper', '-t', 'roph', 'ied']",Correct,Correct,byte_level_bpe,1,Over-segmented,hyp
862,862,detachable,attachable,de-tachable,de,GPT-4,"['detach', 'able']",Incorrect,Correct,"['attach', 'able']",Incorrect,Incorrect,"['de', '-t', 'achable']",Correct,Correct,byte_level_bpe,1,Under-segmented,detach
1132,1132,maleficent,beneficent,mal-eficent,mal,GPT-4,"['male', 'fic', 'ent']",Incorrect,Correct,"['benef', 'ic', 'ent']",Incorrect,Incorrect,"['mal', '-', 'ef', 'ic', 'ent']",Correct,Correct,byte_level_bpe,1,Under-segmented,male
1142,1142,malign,benign,mal-ign,mal,GPT-4,"['m', 'align']",Incorrect,Incorrect,"['ben', 'ign']",Incorrect,Incorrect,"['mal', '-', 'ign']",Correct,Correct,byte_level_bpe,1,Over-segmented,m
1152,1152,malignant,benign,mal-ignant,mal,GPT-4,"['m', 'align', 'ant']",Incorrect,Incorrect,"['ben', 'ign']",Incorrect,Incorrect,"['mal', '-', 'ignant']",Correct,Correct,byte_level_bpe,1,Over-segmented,m
