Unnamed: 0,word,negative_affix,tokenizer,bytes,correct,tokenizer_type,Negated
2,abducent,ab,cl100k_base,"['ab', 'du', 'cent']",Correct,byte_level_bpe,False
12,unable,un,cl100k_base,['unable'],Not segmented,byte_level_bpe,True
22,unabridged,un,cl100k_base,"['un', 'ab', 'ridged']",Correct,byte_level_bpe,True
32,nonabsorbent,non,cl100k_base,"['non', 'abs', 'orb', 'ent']",Correct,byte_level_bpe,True
42,unabused,un,cl100k_base,"['un', 'ab', 'used']",Correct,byte_level_bpe,True
52,acatalectic,a,cl100k_base,"['ac', 'ata', 'lectic']",Incorrect,byte_level_bpe,True
62,unacceptable,un,cl100k_base,"['un', 'acceptable']",Correct,byte_level_bpe,True
72,inaccessible,in,cl100k_base,"['in', 'accessible']",Correct,byte_level_bpe,True
82,unaccommodating,un,cl100k_base,"['un', 'accom', 'mod', 'ating']",Correct,byte_level_bpe,True
92,unaccompanied,un,cl100k_base,"['un', 'accom', 'panied']",Correct,byte_level_bpe,True
102,discordant,dis,cl100k_base,"['discord', 'ant']",Incorrect,byte_level_bpe,False
112,inaccurate,in,cl100k_base,"['in', 'accur', 'ate']",Correct,byte_level_bpe,True
122,unaccustomed,un,cl100k_base,"['un', 'acc', 'ustomed']",Correct,byte_level_bpe,True
132,unacknowledged,un,cl100k_base,"['un', 'ack', 'nowled', 'ged']",Correct,byte_level_bpe,True
142,unacquisitive,un,cl100k_base,"['un', 'ac', 'quis', 'itive']",Correct,byte_level_bpe,True
152,unactable,un,cl100k_base,"['un', 'actable']",Correct,byte_level_bpe,True
162,abactinal,ab,cl100k_base,"['ab', 'act', 'inal']",Correct,byte_level_bpe,False
172,inactive,in,cl100k_base,['inactive'],Not segmented,byte_level_bpe,True
182,unadaptable,un,cl100k_base,"['un', 'ad', 'ap', 'table']",Correct,byte_level_bpe,True
192,unaddicted,un,cl100k_base,"['un', 'add', 'icted']",Correct,byte_level_bpe,True
202,nonaddictive,non,cl100k_base,"['non', 'add', 'ict', 'ive']",Correct,byte_level_bpe,True
212,unaddressed,un,cl100k_base,"['un', 'address', 'ed']",Correct,byte_level_bpe,True
222,inadequate,in,cl100k_base,"['in', 'ade', 'quate']",Correct,byte_level_bpe,True
232,nonadhesive,non,cl100k_base,"['non', 'ad', 'hesive']",Correct,byte_level_bpe,True
242,maladjusted,mal,cl100k_base,"['mal', 'adjusted']",Correct,byte_level_bpe,True
252,unadjusted,un,cl100k_base,"['un', 'adjusted']",Correct,byte_level_bpe,True
262,inadmissible,in,cl100k_base,"['in', 'ad', 'missible']",Correct,byte_level_bpe,True
272,unadoptable,un,cl100k_base,"['un', 'adopt', 'able']",Correct,byte_level_bpe,True
282,unadorned,un,cl100k_base,"['un', 'ad', 'orn', 'ed']",Correct,byte_level_bpe,True
292,maladroit,mal,cl100k_base,"['mal', 'ad', 'roit']",Correct,byte_level_bpe,True
302,nonadsorbent,non,cl100k_base,"['non', 'ads', 'orb', 'ent']",Correct,byte_level_bpe,True
312,disadvantageous,dis,cl100k_base,"['dis', 'adv', 'antage', 'ous']",Correct,byte_level_bpe,True
322,unadventurous,un,cl100k_base,"['un', 'ad', 'vent', 'urous']",Correct,byte_level_bpe,True
332,inadvisable,in,cl100k_base,"['in', 'ad', 'vis', 'able']",Correct,byte_level_bpe,True
342,inaesthetic,in,cl100k_base,"['ina', 'esthetic']",Incorrect,byte_level_bpe,True
352,unaffected,un,cl100k_base,"['un', 'affected']",Correct,byte_level_bpe,True
362,unaffixed,un,cl100k_base,"['un', 'aff', 'ixed']",Correct,byte_level_bpe,True
372,unafraid,un,cl100k_base,"['un', 'af', 'raid']",Correct,byte_level_bpe,True
382,unaggressive,un,cl100k_base,"['un', 'ag', 'gressive']",Correct,byte_level_bpe,True
392,unagitated,un,cl100k_base,"['un', 'ag', 'itated']",Correct,byte_level_bpe,True
402,disagreeable,dis,cl100k_base,"['dis', 'agree', 'able']",Correct,byte_level_bpe,True
412,unairworthy,un,cl100k_base,"['un', 'air', 'worthy']",Correct,byte_level_bpe,True
422,unalarming,un,cl100k_base,"['unal', 'arming']",Incorrect,byte_level_bpe,True
432,nonalcoholic,non,cl100k_base,"['non', 'al', 'coholic']",Correct,byte_level_bpe,True
442,unalert,un,cl100k_base,"['un', 'alert']",Correct,byte_level_bpe,True
452,inalienable,in,cl100k_base,"['inal', 'ien', 'able']",Incorrect,byte_level_bpe,True
462,nonaligned,non,cl100k_base,"['non', 'aligned']",Correct,byte_level_bpe,True
472,unalike,un,cl100k_base,"['unal', 'ike']",Incorrect,byte_level_bpe,True
