word,pred,gold
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",1,1
throws in enough clever and unexpected twists to make the formula feel fresh .,1,1
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",1,1
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .",1,1
"drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",1,1
"the piano teacher is not an easy film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling .",0,1
"for all its brooding quality , ash wednesday is suspenseful and ultimately unpredictable , with a sterling ensemble cast .",1,1
"the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of authority .",1,1
"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people .",1,1
"zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",1,1
"everyone's insecure in lovely and amazing , a poignant and wryly amusing film about mothers , daughters and their relationships .",1,1
"[the film] tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .",1,1
an ideal love story for those intolerant of the more common saccharine genre .,1,1
"tully is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham .",1,1
"special p . o . v . camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense imax screen .",1,1
meant to reduce blake's philosophy into a tragic coming-of-age saga punctuated by bursts of animator todd mcfarlane's superhero dystopia .,0,1
"this quiet , introspective and entertaining independent is worth seeking .",1,1
"whether our action-and-popcorn obsessed culture will embrace this engaging and literate psychodrama isn't much of a mystery , unfortunately .",0,1
"whether or not ram dass proves as clear and reliable an authority on that as he was about inner consciousness , fierce grace reassures us that he will once again be an honest and loving one .",1,1
"a pointed , often tender , examination of the pros and cons of unconditional love and familial duties .",1,1
writer/ director m . night shyamalan's ability to pull together easily accessible stories that resonate with profundity is undeniable .,1,1
"if you can keep your eyes open amid all the blood and gore , you'll see del toro has brought unexpected gravity to blade ii .",1,1
"not a strike against yang's similarly themed yi yi , but i found what time ? to be more engaging on an emotional level , funnier , and on the whole less detached .",1,1
"it's an unusual , thoughtful bio-drama with a rich subject and some fantastic moments and scenes .",1,1
"peter jackson has done the nearly impossible . he has improved upon the first and taken it a step further , richer and deeper . what jackson has done is proven that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery",1,1
"peter jackson has done the nearly impossible . he has improved upon the first and taken it a step further , richer and deeper . what jackson has done is proven that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery",1,1
a movie where story is almost an afterthought amidst a swirl of colors and inexplicable events .,0,1
"to call this one an eventual cult classic would be an understatement , and woe is the horror fan who opts to overlook this goofily endearing and well-lensed gorefest .",1,1
it's unlikely we'll see a better thriller this year .,1,1
"twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .",1,1
"examines its explosive subject matter as nonjudgmentally as wiseman's previous studies of inner-city high schools , hospitals , courts and welfare centers .",1,1
a moving and not infrequently breathtaking film .,1,1
gambling and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy makes it seem fresh again .,1,1
"the film is . . . determined to treat its characters , weak and strong , as fallible human beings , not caricatures , and to carefully delineate the cost of the inevitable conflicts between human urges and an institution concerned with self-preservation .",1,1
an indispensable peek at the art and the agony of making people laugh .,1,1
"the artwork is spectacular and unlike most animaton from japan , the characters move with grace and panache .",1,1
"nonchalantly freaky and uncommonly pleasurable , warm water may well be the year's best and most unpredictable comedy .",1,1
a passionately inquisitive film determined to uncover the truth and hopefully inspire action .,1,1
"the wonderful combination of the sweetness and the extraordinary technical accomplishments of the first film are maintained , but its overall impact falls a little flat with a storyline that never quite delivers the original magic .",0,1
"unpretentious , charming , quirky , original",1,1
"this fascinating look at israel in ferment feels as immediate as the latest news footage from gaza and , because of its heightened , well-shaped dramas , twice as powerful .",1,1
"a genuinely funny ensemble comedy that also asks its audience -- in a heartwarming , nonjudgmental kind of way -- to consider what we value in our daily lives .",1,1
"though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation .",1,1
"often demented in a good way , but it is an uneven film for the most part .",0,1
"the way home is an ode to unconditional love and compassion garnered from years of seeing it all , a condition only the old are privy to , and . . . often misconstrued as weakness .",1,1
"a pretty funny movie , with most of the humor coming , as before , from the incongruous but chemically perfect teaming of crystal and de niro .",1,1
"insomnia loses points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through .",1,1
"provides a porthole into that noble , trembling incoherence that defines us all .",1,1
"cherry orchard is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a 'back story . '",0,0
"the dramatic scenes are frequently unintentionally funny , and the action sequences -- clearly the main event -- are surprisingly uninvolving .",0,0
"replacing john carpenter's stylish tracking shots is degraded , handheld blair witch video-cam footage . of all the halloween's , this is the most visually unappealing .",0,0
"it's not a bad plot ; but , unfortunately , the movie is nowhere near as refined as all the classic dramas it borrows from .",0,0
"unfortunately , neither sendak nor the directors are particularly engaging or articulate .",0,0
"a wishy-washy melodramatic movie that shows us plenty of sturm und drung , but explains its characters' decisions only unsatisfactorily .",0,0
"slow , silly and unintentionally hilarious .",0,0
"ah , the travails of metropolitan life ! alas , another breathless movie about same !",0,0
strident and inelegant in its 'message-movie' posturing .,0,0
an unfortunate title for a film that has nothing endearing about it .,0,0
"hopelessly inane , humorless and under-inspired .",0,0
"hopelessly inane , humorless and under-inspired .",0,0
"a mediocre exercise in target demographics , unaware that it's the butt of its own joke .",0,0
"a relatively effective little potboiler until its absurd , contrived , overblown , and entirely implausible finale .",0,0
even after 90 minutes of playing opposite each other bullock and grant still look ill at ease sharing the same scene . what should have been a painless time-killer becomes instead a grating endurance test .,0,0
"solondz is without doubt an artist of uncompromising vision , but that vision is beginning to feel , if not morally bankrupt , at least terribly monotonous .",0,0
"this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone .",0,0
"this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone .",0,0
"the beautiful , unusual music is this film's chief draw , but its dreaminess may lull you to sleep .",1,0
"this hastily mounted production exists only to capitalize on hopkins' inclination to play hannibal lecter again , even though harris has no immediate inclination to provide a fourth book .",0,0
"the punch lines that miss , unfortunately , outnumber the hits by three-to-one . but death to smoochy keeps firing until the bitter end .",0,0
it's a shame that the storyline and its underlying themes . . . finally seem so impersonal or even shallow .,0,0
"lyne's latest , the erotic thriller unfaithful , further demonstrates just how far his storytelling skills have eroded .",0,0
"it sounds like another clever if pointless excursion into the abyss , and that's more or less how it plays out .",0,0
"rumor , a muddled drama about coming to terms with death , feels impersonal , almost generic .",0,0
bean drops the ball too many times . . . hoping the nifty premise will create enough interest to make up for an unfocused screenplay .,0,0
ultimately this is a frustrating patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .,0,0
"we started to wonder if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .",0,0
a small independent film suffering from a severe case of hollywood-itis .,0,0
some motion pictures portray ultimate passion ; others create ultimate thrills . men in black ii achieves ultimate insignificance -- it's the sci-fi comedy spectacle as whiffle-ball epic .,0,0
"while the story is better-focused than the incomprehensible anne rice novel it's based upon , queen of the damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .",0,0
"while the story is better-focused than the incomprehensible anne rice novel it's based upon , queen of the damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .",0,0
a good-looking but ultimately pointless political thriller with plenty of action and almost no substance .,0,0
does what should seem impossible : it makes serial killer jeffrey dahmer boring .,0,0
those eternally devoted to the insanity of black will have an intermittently good time . feel free to go get popcorn whenever he's not onscreen .,0,0
in terms of execution this movie is careless and unfocused .,0,0
in terms of execution this movie is careless and unfocused .,0,0
"the only upside to all of this unpleasantness is , given its labor day weekend upload , feardotcom should log a minimal number of hits .",0,0
"whether this is art imitating life or life imitating art , it's an unhappy situation all around .",0,0
an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .,0,0
"has none of the crackle of "" fatal attraction "" , "" 9 ½ weeks "" , or even "" indecent proposal "" , and feels more like lyne's stolid remake of "" lolita "" .",0,0
"this is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy .",0,0
"a banal , virulently unpleasant excuse for a romantic comedy .",0,0
sade achieves the near-impossible : it turns the marquis de sade into a dullard .,0,0
"unfortunately , the experience of actually watching the movie is less compelling than the circumstances of its making .",0,0
"soulless and -- even more damning -- virtually joyless , xxx achieves near virtuosity in its crapulence .",0,0
"the cinematic equivalent of patronizing a bar favored by pretentious , untalented artistes who enjoy moaning about their cruel fate .",0,0
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .",0,0
"the story is far-flung , illogical , and plain stupid .",0,0
"an allegory concerning the chronically mixed signals african american professionals get about overachieving could be intriguing , but the supernatural trappings only obscure the message .",0,0
a technically well-made suspenser . . . but its abrupt drop in iq points as it races to the finish line proves simply too discouraging to let slide .,0,0
absolutely ( and unintentionally ) terrifying .,0,0
veers uncomfortably close to pro-serb propaganda .,0,0
. . . in the pile of useless actioners from mtv schmucks who don't know how to tell a story for more than four minutes .,0,0
barney throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull .,0,0
