,Unnamed: 0,neg_word,pos_word,hyphen_word,negative_affix,tokenizer,neg_bytes,neg_correct,soft_neg_correct,pos_bytes,pos_correct,soft_pos_correct,hyphen_bytes,hyphen_correct,soft_hyphen_correct,tokenizer_type,Predict,NegMorph
2,2,abducent,adducent,ab-ducent,ab,cl100k_base,"['ab', 'du', 'cent']",Correct,Correct,"['add', 'u', 'cent']",Incorrect,Incorrect,"['ab', '-du', 'cent']",Correct,Correct,byte_level_bpe,1,Correct
12,12,unable,able,un-able,un,cl100k_base,['unable'],Not segmented,Correct,['able'],Not segmented,Not segmented,"['un', '-', 'able']",Correct,Correct,byte_level_bpe,0,Under-segmented
22,22,unabridged,abridged,un-abridged,un,cl100k_base,"['un', 'ab', 'ridged']",Correct,Correct,"['ab', 'ridged']",Incorrect,Incorrect,"['un', '-ab', 'ridged']",Correct,Correct,byte_level_bpe,0,Correct
32,32,nonabsorbent,absorbent,non-absorbent,non,cl100k_base,"['non', 'abs', 'orb', 'ent']",Correct,Correct,"['abs', 'orb', 'ent']",Incorrect,Incorrect,"['non', '-abs', 'orb', 'ent']",Correct,Correct,byte_level_bpe,0,Correct
42,42,unabused,abused,un-abused,un,cl100k_base,"['un', 'ab', 'used']",Correct,Correct,"['ab', 'used']",Incorrect,Incorrect,"['un', '-ab', 'used']",Correct,Correct,byte_level_bpe,0,Correct
52,52,acatalectic,hypercatalectic,a-catalectic,a,cl100k_base,"['ac', 'ata', 'lectic']",Incorrect,Correct,"['hy', 'perc', 'ata', 'lectic']",Incorrect,Correct,"['a', '-c', 'ata', 'lectic']",Correct,Correct,byte_level_bpe,1,Under-segmented
62,62,unacceptable,acceptable,un-acceptable,un,cl100k_base,"['un', 'acceptable']",Correct,Correct,['acceptable'],Not segmented,Not segmented,"['un', '-', 'acceptable']",Correct,Correct,byte_level_bpe,0,Correct
72,72,inaccessible,accessible,in-accessible,in,cl100k_base,"['in', 'accessible']",Correct,Correct,['accessible'],Not segmented,Not segmented,"['in', '-access', 'ible']",Correct,Correct,byte_level_bpe,0,Correct
82,82,unaccommodating,accommodating,un-accommodating,un,cl100k_base,"['un', 'accom', 'mod', 'ating']",Correct,Correct,"['accom', 'mod', 'ating']",Incorrect,Incorrect,"['un', '-ac', 'com', 'mod', 'ating']",Correct,Correct,byte_level_bpe,0,Correct
92,92,unaccompanied,accompanied,un-accompanied,un,cl100k_base,"['un', 'accom', 'panied']",Correct,Correct,"['accom', 'panied']",Incorrect,Incorrect,"['un', '-ac', 'com', 'panied']",Correct,Correct,byte_level_bpe,0,Correct
102,102,discordant,accordant,dis-cordant,dis,cl100k_base,"['discord', 'ant']",Incorrect,Correct,"['acc', 'ord', 'ant']",Incorrect,Incorrect,"['dis', '-c', 'ord', 'ant']",Correct,Correct,byte_level_bpe,0,Under-segmented
112,112,inaccurate,accurate,in-accurate,in,cl100k_base,"['in', 'accur', 'ate']",Correct,Correct,"['accur', 'ate']",Incorrect,Incorrect,"['in', '-', 'accur', 'ate']",Correct,Correct,byte_level_bpe,0,Correct
