,word,neg_score,pos_score,label,gpt4,thinh,yulia
0,ungodliness,0.625,0.25,0,0,0.0,
1,inadmissibility,0.75,0.125,0,0,0.0,
2,disorganise,0.0,0.0,2,0,0.0,
3,unyoke,0.0,0.0,2,2,2.0,
4,unconscientiousness,0.375,0.5,2,0,0.0,
5,unjustly,0.0,0.125,2,0,0.0,
6,unorthodox,0.0,0.0,2,2,2.0,
7,unhelpfully,0.0,0.25,2,0,0.0,
8,indecisive,0.375,0.375,2,0,0.0,
9,spiritless,0.0,0.0,2,0,0.0,
10,nonspecific,0.0,0.0,2,2,2.0,
11,inopportune,0.0,0.0,2,0,0.0,
12,nonaligned,0.0,0.0,2,2,2.0,
13,noninstitutional,0.125,0.0,2,2,2.0,
14,underhand,0.0,0.0,2,0,0.0,
15,nonmagnetic,0.625,0.0,0,2,2.0,
16,nonreticulate,0.0,0.0,2,2,2.0,
17,counterclockwise,0.0,0.0,2,2,2.0,
18,unequivocal,0.375,0.25,2,2,2.0,
19,noninvasive,0.625,0.0,0,2,2.0,
20,uneven,0.0,0.0,2,0,2.0,
21,desecrated,0.0,0.0,2,0,0.0,
22,uninsurability,0.25,0.25,2,0,0.0,
23,noncombinative,0.0,0.0,2,2,2.0,
24,uninflected,0.125,0.0,2,2,2.0,
25,untranslatable,0.5,0.0,0,2,2.0,
26,nonviolently,0.0,0.0,2,2,2.0,
27,irresponsibly,0.0,0.5,1,0,0.0,
28,unheaded,0.625,0.0,0,0,0.0,
29,unrespectability,0.25,0.75,1,0,0.0,
30,uncut,0.0,0.0,2,2,2.0,
31,atonic,0.0,0.0,2,0,2.0,
32,unsoured,0.625,0.0,0,2,1.0,
33,azonal,0.25,0.125,2,2,2.0,
34,keyless,0.0,0.0,2,2,2.0,
35,fearlessly,0.0,0.0,2,1,1.0,
36,unhygienically,0.0,0.25,2,0,0.0,
37,tasteless,0.0,0.0,2,0,0.0,
38,depersonalize,0.0,0.0,2,0,0.0,
39,inhumanely,0.0,0.25,2,0,0.0,
40,indecency,0.75,0.125,0,0,0.0,
41,unpreventable,0.25,0.125,2,0,2.0,
42,unreasonably,0.375,0.0,0,0,0.0,
43,inadequacy,0.125,0.0,2,0,0.0,
44,unpleasingness,0.75,0.125,0,0,0.0,
45,disprove,0.0,0.0,2,2,2.0,
46,discontinued,0.0,0.0,2,2,2.0,
47,unmanageable,0.0,0.125,2,0,0.0,
48,imperceptibility,0.125,0.0,2,2,2.0,
49,defensively,0.0,0.125,2,2,2.0,
50,unleaded_gasoline,0.75,0.0,0,2,2.0,
51,divergency,0.0,0.0,2,2,2.0,
52,unstuck,0.0,0.0,2,2,2.0,
53,unliveried,0.125,0.125,2,2,2.0,
54,nonpartisan,0.0,0.0,2,2,2.0,
55,untangled,0.125,0.0,2,2,2.0,
56,de-energize,0.0,0.0,2,0,0.0,
57,impatiently,0.0,0.25,2,0,0.0,
58,unstructured,0.0,0.125,2,2,2.0,
